"var","CESC_rho","CESC_rho_pval","CESC_LH_meddelta","CESC_LH_pval"
"silent",0.157583758234978,0.0286189679742215,14,0.0191770970696064
"missense",0.16858771443367,0.0190944754211961,39,0.00968579814878079
"nonstop",0.211840063333511,0.00310146297845559,0,0.00517841896956686
"nonsense",0.136761352419853,0.0578902649990547,3,0.0691890529570717
"frameshift",-0.0345967784523964,0.6328960536457,0,0.933593879622157
"total",0.158373072743416,0.0278211841202243,58,0.0249719199291096
"GZMA",0.96912556886673,0,NA,NA
"PRF1",0.964436650276184,0,NA,NA
"cyt",1,NA,NA,NA
"nmdptc_max",0.111954361200333,0.121119113095955,0.618086953482287,0.102486331353971
"nmdptc_n_decayed",0.172116413712502,0.016689650765489,2,0.0207286517454207
"nmdptc_frac_decayed",-0.0391263961791992,0.589033468314361,-0.0324324324324324,0.564442297455127
"nmdptc_med",0.0029321548063308,0.967718211272562,-0.167496045682189,0.911264087398317
"nmdptc_med.wt",-0.0332338698208332,0.646358243140318,-0.0434450827811073,0.441053505603865
"nmdptc_mean",-0.0194335374981165,0.788506225462492,-0.0386910871160031,0.643513244937926
"nmdptc_mean.wt",-0.0727025642991066,0.315000135003874,-0.050318667770298,0.28175055718492
"nmdptc_mut.bool",-0.040279570966959,0.578093012343998,0,0.654579903713178
"nmdfs_max",-0.0111965509131551,0.877182513733353,-0.204610761619079,0.655465022704263
"nmdfs_n_decayed",-0.00276803667657077,0.969524184836658,-1,0.500008976157075
"nmdfs_frac_decayed",-0.0409697890281677,0.571590439789307,0,0.412403335612675
"nmdfs_med",0.0358019396662712,0.621091523043171,-0.0492371143080245,0.737771697796476
"nmdfs_med.wt",0.0243791919201612,0.73646636416271,-0.159856419260888,0.470091808405162
"nmdfs_mean",0.0130190793424845,0.857388468078266,-0.0569412103932316,1
"nmdfs_mean.wt",0.00662329234182835,0.927161260537095,-0.159856419260888,0.942465077084076
"nmdfs_mut.bool",-0.0147474640980363,0.838698537435452,0,0.834984206213528
"nmdns_max",0.0740765631198883,0.30591711525863,0.426150051306654,0.128700292926959
"nmdns_n_decayed",0.109611921012402,0.12915021979456,1,0.0289775444654853
"nmdns_frac_decayed",-0.0914086773991585,0.206126244826125,-0.0952380952380952,0.516057227803165
"nmdns_med",-0.0658516809344292,0.362882630274309,-0.186157494327357,0.732101887132966
"nmdns_med.wt",-0.121455274522305,0.0924555669592588,-0.133810650554428,0.439358231425964
"nmdns_mean",-0.0555302314460278,0.443062894432477,-0.0975212072391003,0.449849854925016
"nmdns_mean.wt",-0.136771261692047,0.0578719422774596,-0.129126955818871,0.449849854925016
"nmdns_mut.bool",0.0455764569342136,0.529098709859277,0,0.738596964270308
"TNFRSF4_cna",0.0542044751346111,0.454043154791058,0,0.940800176380052
"CNKSR1_cna",0.141117990016937,0.0502833495295567,0,0.269574684412799
"FUBP1_cna",0.0406987927854061,0.574139389032672,0,0.505826589729667
"IL10_cna",-0.0416775420308113,0.564958726122656,0,0.256830756860683
"IRF6_cna",-0.0360781475901604,0.61839950433228,0,0.256830756860683
"DNMT3A_cna",-0.111980020999908,0.121033335350763,0,0.491944596410946
"SOS1_cna",-0.128852918744087,0.074114512911664,0,0.329379925361901
"CASP8_cna",-0.108673214912415,0.132481446313316,0,0.516979373774231
"CASP8_mut",0.152658462524414,0.034051527714642,0,0.212807256702045
"CTLA4_cna",-0.162445649504662,0.0240005582379021,0,0.105859627450656
"DNER_cna",-0.182587787508965,0.0110373455112973,-1,0.161244118529764
"PDCD1_cna",-0.247385680675507,0.000523299340302152,-1,0.00697988802913455
"SLC22A14_cna",-0.0379757806658745,0.600043170228874,0,0.508665418037242
"PIK3CA_cna",-0.150539770722389,0.0366444506272141,0,0.297567286160067
"CXCL9_cna",0.0434333309531212,0.548667163811247,0,0.739136627938381
"CXCL10_cna",0.0434333309531212,0.548667163811247,0,0.739136627938381
"CXCL11_cna",0.0434333309531212,0.548667163811247,0,0.739136627938381
"TET2_cna",0.106663063168526,0.139836601588971,0,0.410075437865789
"TET2_mut",-0.0829026699066162,0.251706910813307,0,1
"IL2_cna",0.128248557448387,0.0754927046507101,0,0.423977292416393
"IRF1_cna",0.101641871035099,0.159567838009813,0,0.250852734776985
"HAVCR2_cna",0.0659099444746971,0.362457258437449,0,0.200764754552393
"TAP1_cna",0.100209578871727,0.165562170797946,0,0.31419349183798
"TAP1_mut",0.0595862902700901,0.410420718259107,NA,NA
"IFNGR1_cna",-0.0307229068130255,0.671460954073051,0,0.92860290589318
"IFNGR1_mut",0.00261118868365884,0.971250302075782,0,1
"MUC17_cna",0.0223868396133184,0.757301503053163,0,0.797411231756371
"MUC17_mut",0.0974351614713669,0.177649034092022,0,0.360294569561405
"MET_cna",-0.0161667242646217,0.823418056898868,0,0.590549245899777
"IDO1_cna",-0.0564607121050358,0.435447208313401,0,0.619822781357827
"IDO1_mut",-0.0440420433878899,0.543073273232184,NA,NA
"JAK2_cna",0.163342475891113,0.0232226961023585,0,0.0778010152634639
"JAK2_mut",0.00994450971484184,0.89082569565993,0,1
"CD274_cna",0.188432440161705,0.00868187549404542,0,0.0124664681520851
"COL5A1_cna",0.11089251935482,0.124710272109834,0,0.0257754360070352
"ARID5B_cna",0.0548603907227516,0.448591766501881,0,0.636519608856297
"ARID5B_mut",0.0246117301285267,0.734046731514007,NA,NA
"OVOL1_cna",-0.0121131557971239,0.867217165462551,0,0.938481567537517
"LAG3_cna",-0.0494877956807613,0.494316680031194,0,0.720116520535046
"ARID2_cna",0.00763490609824657,0.916074270821842,0,0.336590275206564
"ARID2_mut",0.060881644487381,0.400302530416587,NA,NA
"IFNG_cna",0.0173689946532249,0.810525321847364,0,0.21107208779109
"TCP11L2_cna",0.0686140283942223,0.343056999634575,0,0.381569778837931
"B2M_cna",0.0583064407110214,0.420564349220327,0,0.748194427379397
"B2M_mut",-0.104691714048386,0.147348612713918,0,1
"TP53_cna",-0.0150208994746208,0.83574970828946,0,0.699311438802005
"TP53_mut",-0.121763288974762,0.0916257507323506,0,1
"TMEM88_cna",-0.0150208994746208,0.83574970828946,0,0.699311438802005
"MYOCD_cna",0.0238951295614243,0.741511483451782,0,0.9232057566579
"NCOR1_cna",0.0334874950349331,0.643844161735506,0,0.750721026765756
"NCOR1_mut",-0.101037628948689,0.162076501698608,0,1
"NF1_cna",-0.0461796373128891,0.523655423601067,0,0.709739595689125
"NF1_mut",0.0594719015061855,0.41132141049566,0,1
"ALPK2_cna",0.0870854780077934,0.228488993227071,0,0.331816025680386
"LPAR2_cna",0.0207849536091089,0.774181968713453,0,0.80031941607924
"TGFB1_cna",0.0796265602111816,0.270996622971982,0,0.651439057531056
"CIC_cna",0.044526219367981,0.538644050852206,0,0.619558720920935
"CSNK2A1_cna",-0.0530025511980057,0.464127997756959,0,0.323089933894942
"ASXL1_cna",-0.0641022101044655,0.375799327875719,0,0.46800962863655
"ASXL1_mut",0.0301957856863737,0.676778408051188,0,0.367879441171442
"IFNGR2_cna",-0.0254413336515427,0.725435926335388,0,0.795583930821588
"IFNGR2_mut",-0.0233163759112358,0.747558002101594,NA,NA
"EP300_cna",-0.0688472986221313,0.341414840320907,0,0.553858265622439
"EP300_mut",0.0370637588202953,0.608834937945809,0,1
"DDX3X_cna",0.0566624067723751,0.433806339140758,0,0.699697081254697
"SSX5_cna",0.0434197299182415,0.548792474979427,0,0.699697081254697
"SSX5_mut",0.00906747952103615,0.900401857561205,NA,NA
"FOXP3_cna",0.0434197299182415,0.548792474979427,0,0.699697081254697
"SMC1A_cna",0.025880353525281,0.720892970855929,0,0.724612701003452
"SMC1A_mut",0.110105104744434,0.127426099648422,0,1
"MORC4_cna",-0.0919262170791626,0.203558732356978,0,0.372126290695096
"MORC4_mut",0.0246117301285267,0.734046731514007,NA,NA
"CUL4B_cna",-0.0319916792213917,0.658729058827781,0,0.895214455273166
"cyt.cat",0.920886337757111,0,NA,NA
"cyt.bool",0.866070508956909,0,NA,NA
