"var","LUSC_rho","LUSC_rho_pval","LUSC_LH_meddelta","LUSC_LH_pval"
"silent",0.141173034906387,0.0601573985975934,15,0.0327841389642356
"missense",0.140467315912247,0.0614633445098764,67,0.0243514139068985
"nonstop",0.116190455853939,0.122470035524687,0,0.0840973107793067
"nonsense",0.115864045917988,0.123531078940541,6,0.0690062526397199
"frameshift",-0.110947139561176,0.140388326570874,0,0.539173805802568
"total",0.129793077707291,0.084209420544612,76,0.0358905465368497
"GZMA",0.965210139751434,0,NA,NA
"PRF1",0.951351642608643,0,NA,NA
"cyt",1,NA,NA,NA
"nmdptc_max",-0.101154863834381,0.17910532584381,-0.505050900365024,0.958625629455527
"nmdptc_n_decayed",0.0129585601389408,0.863690748638938,-1,0.194186179290572
"nmdptc_frac_decayed",-0.0579366758465767,0.442385351744407,0.00701754385964914,0.835307707770645
"nmdptc_med",-0.0965548157691956,0.199799148997102,-0.174845240440079,0.849020827552915
"nmdptc_med.wt",-0.101731084287167,0.17662884176707,-0.00670729753486824,0.466214021547955
"nmdptc_mean",-0.0989944711327553,0.188618270287026,-0.17974603071929,0.796367250286471
"nmdptc_mean.wt",-0.117349594831467,0.118759063997514,-0.0200880817323397,0.541166222832614
"nmdptc_mut.bool",0.138730868697166,0.0647759639814651,0,0.043044138556946
"nmdfs_max",-0.0899297595024109,0.232563992915211,-6.19143782776676,0.849129630378082
"nmdfs_n_decayed",-0.0916338786482811,0.223795890993799,-7,0.67176180125559
"nmdfs_frac_decayed",-0.0792568698525429,0.292972083796315,0,0.447235879566328
"nmdfs_med",-0.0892039090394974,0.236371112724358,-3.84959591638231,0.703445448149847
"nmdfs_med.wt",-0.0779712051153183,0.300896622189424,-4.22900601597669,0.367213451222292
"nmdfs_mean",-0.0915503799915314,0.224219973846677,-3.69016314278343,0.703605359962223
"nmdfs_mean.wt",-0.0783628895878792,0.298467516041782,-4.22127863333322,0.969651153738972
"nmdfs_mut.bool",0.0916877314448357,0.223522678883962,1,0.139936238849546
"nmdns_max",-0.0747106075286865,0.321623428071359,-0.188129048540619,0.914484568630048
"nmdns_n_decayed",0.0504391863942146,0.503733196984486,1,0.0815413001544383
"nmdns_frac_decayed",-0.0223154108971357,0.767486699911151,0.0833333333333334,0.480982493355631
"nmdns_med",-0.0650346875190735,0.38842812094576,-0.0184365364730549,0.893103113936856
"nmdns_med.wt",-0.0745098367333412,0.32292918673922,-0.00241763049996696,0.404838728050257
"nmdns_mean",-0.0768745839595795,0.307766803500412,-0.127906597258906,0.44866816603835
"nmdns_mean.wt",-0.103937946259975,0.167378014440207,-0.0137841837391127,0.44866816603835
"nmdns_mut.bool",0.0580497980117798,0.441493405731992,0,0.672603817441517
"TNFRSF4_cna",0.124423339962959,0.097974058845069,1,0.147318951380865
"CNKSR1_cna",0.137470483779907,0.067270747759884,1,0.163300672281936
"FUBP1_cna",0.020808607339859,0.78278203886826,1,0.121333070651328
"FUBP1_mut",0.0964036956429482,0.200507185284765,0,0.474549143449401
"IL10_cna",0.0248438902199268,0.742023840977245,0,0.508523447307361
"IRF6_cna",0.00667433487251401,0.929542580597336,0,0.981502902990784
"IRF6_mut",0.0798192992806435,0.289549472618952,0,1
"DNMT3A_cna",-0.00562468450516462,0.940600969227928,0,0.509133631346013
"DNMT3A_mut",0.0607070215046406,0.420837410113237,NA,NA
"SOS1_cna",-0.0148055758327246,0.844492675143905,0,0.701117551642295
"SOS1_mut",0.0363056473433971,0.630428479844724,0,1
"CASP8_cna",0.0811510384082794,0.281552123358159,0,0.422656476552507
"CASP8_mut",0.160782158374786,0.0320363279964107,0,0.474549143449401
"CTLA4_cna",0.0991535782814026,0.187905309205446,0,0.427269577441728
"CTLA4_mut",0.0650954842567444,0.387983832942873,0,1
"DNER_cna",0.117298468947411,0.118920879019721,0,0.366167825664701
"DNER_mut",-0.0168224275112152,0.823633794694179,NA,NA
"PDCD1_cna",0.186837166547775,0.012518314049121,0,0.153892018191824
"SLC22A14_cna",0.023396298289299,0.756569439774209,0,0.183970022445095
"PIK3CA_cna",-0.130065590143204,0.0835545253633501,-1,0.0917315512198565
"CXCL9_cna",0.0756739005446434,0.31540604256942,1,0.424954870219049
"CXCL10_cna",0.0756739005446434,0.31540604256942,1,0.424954870219049
"CXCL11_cna",0.0756739005446434,0.31540604256942,1,0.424954870219049
"TET2_cna",0.21328267455101,0.00425698254397133,0,0.0209280133319917
"TET2_mut",-0.0504672825336456,0.503495280664202,NA,NA
"IL2_cna",0.179313465952873,0.0166235629907647,0,0.0778090495105519
"IRF1_cna",0.112426601350307,0.13514126750131,0,0.340380755873332
"HAVCR2_cna",0.120434954762459,0.109306847856335,0,0.297338174259302
"TAP1_cna",-0.0865873768925667,0.250456757649551,0,0.352227409992711
"IFNGR1_cna",-0.0858260989189148,0.254661911751945,0,0.545370187497515
"MUC17_cna",-0.0421530790627003,0.576381204697896,0,0.557714548322769
"MUC17_mut",-0.0496882498264313,0.510113817515195,0,1
"MET_cna",0.0244629941880703,0.745842527166034,1,0.126030533367442
"MET_mut",0.0329134464263916,0.662731798989394,NA,NA
"IDO1_cna",-0.0731448158621788,0.331897619056562,0,0.203412644100854
"JAK2_cna",0.196063488721848,0.00871870891035265,0,0.198485428613002
"JAK2_mut",-0.0504672825336456,0.503495280664202,NA,NA
"CD274_cna",0.203603386878967,0.00641297362561044,0,0.35571871798667
"COL5A1_cna",0.134751304984093,0.0729203690041209,1,0.40948710725338
"COL5A1_mut",-0.100203156471252,0.183251487014004,0,1
"ARID5B_cna",0.113288052380085,0.132156019175161,1,0.115291022599107
"OVOL1_cna",0.0467662066221237,0.535335149463426,0,0.445712654025518
"LAG3_cna",0.0130951264873147,0.862268384579651,0,0.516492226737925
"LAG3_mut",0.117757000029087,0.117475722513508,0,1
"ARID2_cna",-0.00408648792654276,0.956826282853142,0,0.879346230909148
"ARID2_mut",0.110442899167538,0.142211721822633,0,1
"IFNG_cna",0.0196989271789789,0.794100076378528,0,0.949623545602343
"TCP11L2_cna",-0.0213515963405371,0.777260298114505,0,0.971328157892922
"B2M_cna",-0.0511329844594002,0.497875413186137,0,0.775407663824743
"B2M_mut",-0.103128798305988,0.170727007852384,0,1
"TP53_cna",0.0203353483229876,0.787603560246619,0,0.539790194379981
"TP53_mut",0.0137745114043355,0.855199129545504,0,0.362586303782726
"TMEM88_cna",0.0203353483229876,0.787603560246619,0,0.539790194379981
"MYOCD_cna",-0.00658841198310256,0.930447326817923,0,0.695927465807887
"MYOCD_mut",0.0855749621987343,0.256059762570904,0,1
"NCOR1_cna",-0.0435050465166569,0.564200551532805,0,0.843795366803176
"NCOR1_mut",0.142269775271416,0.0581731958128231,0,0.474549143449401
"NF1_cna",-0.183442667126656,0.014245063224001,0,0.0325017808886471
"NF1_mut",-0.00334922969341278,0.964609786982328,0,1
"ALPK2_cna",-0.0728313997387886,0.333979133568628,0,0.729520576446425
"ALPK2_mut",0.213191896677017,0.00427372225034572,0,0.124909824159219
"LPAR2_cna",0.0750062614679337,0.319706806376453,0,0.3437516338065
"LPAR2_mut",0.179453626275063,0.0165374844892225,0,0.474549143449401
"TGFB1_cna",0.0857281610369682,0.255206416037081,0,0.303392045775091
"CIC_cna",0.103344194591045,0.16983067917282,0,0.206352976928569
"CSNK2A1_cna",-0.0577414408326149,0.44392714299369,0,0.441429321099786
"ASXL1_cna",-0.0817436426877975,0.27804165249041,-1,0.90929337654217
"ASXL1_mut",0.0345218665897846,0.647332797462078,NA,NA
"IFNGR2_cna",-0.00285259680822492,0.969854852108679,0,0.549149990976095
"EP300_cna",-0.2076805382967,0.00540786931140991,-1,0.0089477026774615
"EP300_mut",0.0885005965828896,0.240101496273737,0,1
"DDX3X_cna",0.0790623649954796,0.294161965063727,0,0.256369162243938
"SSX5_cna",0.0776556804776192,0.302862878485265,0,0.312420671466852
"FOXP3_cna",0.0376810729503632,0.61752314063252,0,0.227647113061301
"SMC1A_cna",0.0852309837937355,0.257982941518175,0,0.150458600140374
"MORC4_cna",0.0516808219254017,0.493275507552927,0,0.0714378235535934
"MORC4_mut",0.0767980441451073,0.308250127288688,0,0.32818424412387
"CUL4B_cna",-0.0309539623558521,0.681684072892037,0,0.779374149962679
"CUL4B_mut",0.0460788235068321,0.541357471500084,NA,NA
"cyt.cat",0.920259654521942,0,NA,NA
"cyt.bool",0.866078853607178,0,NA,NA
