"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"nmdns_mean.wt",0.00661554542119557,0.117647058823529,0.0236680055063005,0.0196078431372549,0.0151661604538469,0.0196078431372549,77.4517162203476,0.0196078431372549
"nmdptc_mean",-0.000662315840716329,0.392156862745098,0.0253098606930577,0.0196078431372549,0.0123201389121948,0.0196078431372549,81.4751279271032,0.294117647058824
"nmdns_mean",0.00268160393544065,0.333333333333333,0.0181944958761841,0.0196078431372549,0.0103898581012955,0.0196078431372549,66.9249821573755,0.0784313725490196
"nmdptc_mean.wt",0.00645985212197643,0.176470588235294,0.0144590666716701,0.0392156862745098,0.010306193822074,0.0196078431372549,82.0324588258892,0.0196078431372549
"nmdns_med.wt",0.00682725484852291,0.0784313725490196,0.0131642303182714,0.0196078431372549,0.00985317323697088,0.0196078431372549,65.1742712603878,0.0196078431372549
"nmdns_med",0.00118140154618787,0.411764705882353,0.0133765085936026,0.0196078431372549,0.00730738030521227,0.0196078431372549,58.8188796302955,0.588235294117647
"nmdptc_n_decayed",-0.0025330785609497,0.686274509803922,0.0163774822784856,0.0196078431372549,0.00689288588568511,0.0196078431372549,29.4812609054338,0.0588235294117647
"nmdfs_mean",0.00722868628752394,0.0392156862745098,0.00672170251412224,0.117647058823529,0.00688134322440337,0.0196078431372549,59.5221395333537,0.96078431372549
"nmdptc_med",-0.0011921593939674,0.411764705882353,0.0149492058069906,0.0196078431372549,0.00682402493974875,0.0196078431372549,69.5788894090236,1
"nmdptc_max",0.00957577279512108,0.0588235294117647,0.00397276904742141,0.274509803921569,0.00672849499183307,0.0196078431372549,77.3165994640426,0.96078431372549
"nmdfs_med",0.00824538800798629,0.0392156862745098,0.00499878730316801,0.0980392156862745,0.00656873611241154,0.0196078431372549,58.2170145278186,0.803921568627451
"nmdptc_frac_decayed",0.0033737568024586,0.137254901960784,0.00966941470766123,0.0196078431372549,0.00651885743026236,0.0196078431372549,31.8066785304868,0.92156862745098
"nmdns_max",-0.000119846344826823,0.490196078431373,0.0112897586476689,0.0196078431372549,0.00553014976876625,0.0196078431372549,68.1741716655075,0.372549019607843
"nmdfs_max",0.0113046212556171,0.0196078431372549,-0.000186381083315138,0.647058823529412,0.00552160943971773,0.0196078431372549,65.0599965475507,0.901960784313726
"nmdptc_med.wt",-0.00534898821250656,0.784313725490196,0.015590311174805,0.0196078431372549,0.00508615723024814,0.0196078431372549,69.9886186907617,0.490196078431373
"nmdfs_mean.wt",0.0092327744224629,0.0392156862745098,0.00094533637273297,0.411764705882353,0.00508413626768781,0.0196078431372549,53.2673651621987,1
"nmdns_n_decayed",-0.00060752895698438,0.607843137254902,0.00922306317262597,0.0392156862745098,0.00426792333216661,0.0196078431372549,26.907541949932,0.725490196078431
"nmdfs_med.wt",0.00592203783951699,0.0980392156862745,0.00194008238820609,0.313725490196078,0.00389704256800205,0.0196078431372549,49.8363291856149,1
"nmdns_frac_decayed",0.00103011751022411,0.294117647058824,0.00412842526191811,0.137254901960784,0.0025243755459636,0.0196078431372549,21.2397077849264,0.96078431372549
"nmdfs_n_decayed",0.000172751340455558,0.411764705882353,0.00470927956372328,0.0980392156862745,0.0024260968894392,0.0392156862745098,27.2019497256218,0.549019607843137
"nmdfs_frac_decayed",0.00282564729107907,0.176470588235294,0.00141974837567203,0.372549019607843,0.00212896174975477,0.0392156862745098,14.8185362580692,1
"msi",-0.00123143169267592,0.549019607843137,0.00323964304794068,0.215686274509804,0.00099239145093183,0.215686274509804,13.2564957186763,0.745098039215686
"nmdfs_mut.bool",8.70464510399793e-05,0.470588235294118,5.18184566533397e-06,0.529411764705882,3.284191553222e-05,0.352941176470588,0.649229197815194,0.666666666666667
"nmdns_mut.bool",-0.000551307009424017,0.647058823529412,0.000478106422041717,0.372549019607843,-4.1151739148032e-05,0.647058823529412,0.55010583558955,0.862745098039216
"nmdptc_mut.bool",-0.00147513669227079,0.862745098039216,0.00104565485459301,0.176470588235294,-0.000221598877866084,0.901960784313726,0.358815521892155,0.529411764705882
