"var","hr","pval","hr_ci95"
"cyt.catmed",0.8,"3.99e-01","0.6 to 1.2"
"cyt.cathigh",0.9,"6.33e-01","0.6 to 1.4"
"cyt.bool1",0.9,"6.49e-01","0.6 to 1.4"
"TMB.cathigh",0.5,"4.40e-04","0.4 to 0.8"
"PDL1.cat0positive",0.5,"4.53e-01","0.1 to 3.4"
"PDL1.catmed",0.7,"3.89e-02","0.4 to 1"
"PDL1.cathigh",1.3,"3.01e-01","0.8 to 2"
"age.cat>=65",1.5,"1.87e-02","1.1 to 2.1"
"nmdptc_mut.bool1",1,"9.89e-01","0.7 to 1.4"
"nmdfs_mut.bool1",0.8,"1.58e-01","0.6 to 1.1"
"nmdns_mut.bool1",0.9,"5.24e-01","0.6 to 1.2"
"silent",1,"2.05e-01","1 to 1"
"missense",1,"1.77e-02","1 to 1"
"nonstop",0.8,"6.73e-01","0.3 to 2"
"nonsense",0.9,"2.14e-01","0.9 to 1"
"frameshift",0.9,"1.45e-01","0.9 to 1"
"total",1,"3.40e-02","1 to 1"
"GZMA",1,"4.41e-01","1 to 1"
"PRF1",1,"7.60e-01","0.9 to 1"
"cyt",1,"5.44e-01","1 to 1"
"nmdptc_max",1,"8.62e-01","1 to 1"
"nmdptc_n_decayed",1,"8.95e-01","1 to 1"
"nmdptc_frac_decayed",0.9,"5.95e-01","0.6 to 1.4"
"nmdptc_med",1,"7.38e-01","0.9 to 1.1"
"nmdptc_med.wt",1,"9.77e-01","0.9 to 1.1"
"nmdptc_mean",1,"7.59e-01","0.9 to 1.1"
"nmdptc_mean.wt",1,"9.67e-01","0.9 to 1.1"
"nmdfs_max",1,"1.90e-01","1 to 1.1"
"nmdfs_n_decayed",1,"1.19e-01","1 to 1"
"nmdfs_frac_decayed",0.7,"2.69e-01","0.4 to 1.3"
"nmdfs_med",1,"4.50e-01","0.9 to 1.2"
"nmdfs_med.wt",1,"4.25e-01","0.9 to 1.2"
"nmdfs_mean",1,"4.77e-01","0.9 to 1.2"
"nmdfs_mean.wt",1,"4.20e-01","0.9 to 1.2"
"nmdns_max",1,"5.22e-01","1 to 1"
"nmdns_n_decayed",1,"4.50e-01","1 to 1"
"nmdns_frac_decayed",1.2,"3.91e-01","0.8 to 1.9"
"nmdns_med",1,"4.99e-01","0.9 to 1.1"
"nmdns_med.wt",1,"4.75e-01","0.9 to 1.1"
"nmdns_mean",1,"5.27e-01","0.9 to 1.1"
"nmdns_mean.wt",1,"4.75e-01","0.9 to 1.1"
"TNFRSF4_cna",1,"8.31e-01","0.9 to 1.2"
"CNKSR1_cna",1.1,"4.51e-01","0.9 to 1.3"
"FUBP1_cna",0.9,"3.71e-01","0.7 to 1.1"
"IL10_cna",1,"9.75e-01","0.8 to 1.2"
"IL10_mut",1.1,"8.32e-01","0.4 to 3"
"IRF6_cna",1.1,"3.51e-01","0.9 to 1.4"
"DNMT3A_cna",0.8,"1.21e-01","0.7 to 1"
"SOS1_cna",0.9,"3.68e-01","0.7 to 1.1"
"CASP8_cna",1,"7.90e-01","0.8 to 1.2"
"CTLA4_cna",0.9,"4.34e-01","0.7 to 1.1"
"DNER_cna",1.1,"4.52e-01","0.9 to 1.3"
"PDCD1_cna",1.1,"3.18e-01","0.9 to 1.3"
"SLC22A14_cna",0.9,"3.01e-01","0.7 to 1.1"
"PIK3CA_cna",1,"6.56e-01","0.8 to 1.2"
"CXCL9_cna",1,"9.30e-01","0.8 to 1.2"
"CXCL10_cna",1,"8.74e-01","0.8 to 1.2"
"CXCL11_cna",1,"8.74e-01","0.8 to 1.2"
"TET2_cna",1,"7.60e-01","0.8 to 1.4"
"IL2_cna",1,"9.30e-01","0.8 to 1.3"
"IRF1_cna",1,"7.08e-01","0.8 to 1.3"
"HAVCR2_cna",0.9,"5.42e-01","0.8 to 1.2"
"TAP1_cna",0.8,"1.37e-02","0.6 to 1"
"IFNGR1_cna",1,"8.50e-01","0.8 to 1.2"
"MUC17_cna",1.1,"5.55e-01","0.9 to 1.3"
"MUC17_mut",2,"1.59e-01","0.8 to 5.5"
"MET_cna",1,"7.94e-01","0.8 to 1.2"
"IDO1_cna",1.1,"5.16e-01","0.9 to 1.3"
"JAK2_cna",1,"5.72e-01","0.8 to 1.1"
"CD274_cna",1,"7.32e-01","0.8 to 1.2"
"COL5A1_cna",1.3,"3.05e-02","1 to 1.6"
"ARID5B_cna",1.1,"5.65e-01","0.8 to 1.4"
"OVOL1_cna",1,"7.76e-01","0.8 to 1.2"
"LAG3_cna",1.3,"6.75e-03","1.1 to 1.6"
"ARID2_cna",1,"8.91e-01","0.8 to 1.3"
"IFNG_cna",1.2,"1.51e-01","0.9 to 1.5"
"TCP11L2_cna",1.1,"4.16e-01","0.9 to 1.3"
"B2M_cna",1.2,"1.17e-01","0.9 to 1.6"
"TP53_cna",0.9,"4.63e-01","0.7 to 1.2"
"TP53_mut",0.9,"2.21e-01","0.7 to 1.1"
"TMEM88_cna",0.9,"6.48e-01","0.8 to 1.2"
"MYOCD_cna",0.8,"1.32e-01","0.6 to 1.1"
"NCOR1_cna",0.7,"3.40e-02","0.5 to 1"
"NF1_cna",1.1,"7.25e-01","0.8 to 1.4"
"NF1_mut",1,"9.14e-01","0.6 to 1.6"
"ALPK2_cna",0.9,"3.09e-01","0.7 to 1.1"
"LPAR2_cna",1,"6.83e-01","0.8 to 1.2"
"TGFB1_cna",1.1,"3.23e-01","0.9 to 1.3"
"CIC_cna",1.1,"5.18e-01","0.9 to 1.3"
"CIC_mut",0.8,"6.74e-01","0.3 to 2.2"
"CSNK2A1_cna",1,"6.75e-01","0.9 to 1.3"
"ASXL1_cna",1.2,"1.72e-01","0.9 to 1.5"
"IFNGR2_cna",0.9,"4.53e-01","0.7 to 1.2"
"EP300_cna",0.9,"5.03e-01","0.7 to 1.2"
"DDX3X_cna",0.9,"5.11e-01","0.8 to 1.1"
"SSX5_cna",0.9,"3.18e-01","0.8 to 1.1"
"FOXP3_cna",0.9,"4.06e-01","0.8 to 1.1"
"SMC1A_cna",1,"7.53e-01","0.8 to 1.2"
"MORC4_cna",1,"7.52e-01","0.8 to 1.2"
"MORC4_mut",3.8,"1.88e-01","0.5 to 27.4"
"CUL4B_cna",1.1,"2.76e-01","0.9 to 1.3"
"TMB",0.7,"1.65e-02","0.5 to 0.9"
"PDL1",1,"5.18e-01","1 to 1"
"silent.catmed",0.7,"1.24e-01","0.5 to 1.1"
"silent.cathigh",0.7,"9.27e-02","0.4 to 1.1"
"missense.catmed",0.8,"3.87e-01","0.6 to 1.2"
"missense.cathigh",0.5,"3.44e-03","0.3 to 0.8"
"nonsense.catmed",1.2,"4.70e-01","0.8 to 1.7"
"nonsense.cathigh",0.8,"1.74e-01","0.5 to 1.1"
"frameshift.catmed",0.8,"3.70e-01","0.6 to 1.2"
"frameshift.cathigh",0.7,"7.94e-02","0.5 to 1"
"total.catmed",0.8,"1.43e-01","0.5 to 1.1"
"total.cathigh",0.6,"1.42e-02","0.3 to 0.9"
"GZMA.catmed",0.8,"2.57e-01","0.5 to 1.2"
"GZMA.cathigh",0.8,"3.78e-01","0.5 to 1.3"
"PRF1.catmed",0.7,"8.76e-02","0.5 to 1.1"
"PRF1.cathigh",0.8,"4.38e-01","0.5 to 1.3"
"nmdptc_max.catmed",0.7,"1.32e-01","0.5 to 1.1"
"nmdptc_max.cathigh",0.8,"3.80e-01","0.5 to 1.3"
"nmdptc_n_decayed.catmed",0.7,"8.77e-02","0.5 to 1.1"
"nmdptc_n_decayed.cathigh",0.9,"5.19e-01","0.6 to 1.3"
"nmdptc_frac_decayed.catmed",0.9,"6.42e-01","0.5 to 1.6"
"nmdptc_frac_decayed.cathigh",1,"9.75e-01","0.7 to 1.4"
"nmdptc_med.catmed",0.8,"2.16e-01","0.5 to 1.2"
"nmdptc_med.cathigh",0.9,"4.97e-01","0.6 to 1.3"
"nmdptc_med.wt.catmed",0.8,"1.87e-01","0.5 to 1.1"
"nmdptc_med.wt.cathigh",0.9,"4.71e-01","0.6 to 1.3"
"nmdptc_mean.catmed",0.8,"3.26e-01","0.5 to 1.2"
"nmdptc_mean.cathigh",0.9,"5.83e-01","0.6 to 1.4"
"nmdptc_mean.wt.catmed",0.7,"1.65e-01","0.5 to 1.1"
"nmdptc_mean.wt.cathigh",0.8,"4.03e-01","0.5 to 1.3"
"nmdfs_max.catmed",0.8,"4.79e-01","0.4 to 1.5"
"nmdfs_max.cathigh",1.2,"3.47e-01","0.8 to 1.8"
"nmdfs_n_decayed.catmed",0.8,"6.11e-01","0.5 to 1.6"
"nmdfs_n_decayed.cathigh",1.2,"2.69e-01","0.9 to 1.8"
"nmdfs_frac_decayed.catmed",NA," NA","NA to NA"
"nmdfs_frac_decayed.cathigh",0.8,"3.77e-01","0.6 to 1.2"
"nmdfs_med.catmed",0.9,"6.04e-01","0.5 to 1.5"
"nmdfs_med.cathigh",1.2,"3.94e-01","0.8 to 1.8"
"nmdfs_med.wt.catmed",0.6,"1.05e-01","0.4 to 1.1"
"nmdfs_med.wt.cathigh",1,"8.38e-01","0.7 to 1.5"
"nmdfs_mean.catmed",0.8,"3.12e-01","0.4 to 1.3"
"nmdfs_mean.cathigh",1.1,"5.85e-01","0.7 to 1.7"
"nmdfs_mean.wt.catmed",0.6,"1.05e-01","0.4 to 1.1"
"nmdfs_mean.wt.cathigh",1,"8.38e-01","0.7 to 1.5"
"nmdns_max.catmed",0.8,"4.42e-01","0.5 to 1.3"
"nmdns_max.cathigh",1,"9.18e-01","0.7 to 1.5"
"nmdns_n_decayed.catmed",1.2,"4.86e-01","0.7 to 2"
"nmdns_n_decayed.cathigh",1.2,"3.85e-01","0.8 to 1.7"
"nmdns_frac_decayed.catmed",1.4,"4.42e-01","0.6 to 3"
"nmdns_frac_decayed.cathigh",1.2,"2.35e-01","0.9 to 1.8"
"nmdns_med.catmed",1.1,"5.84e-01","0.7 to 1.7"
"nmdns_med.cathigh",1.2,"3.77e-01","0.8 to 1.8"
"nmdns_med.wt.catmed",1,"9.74e-01","0.6 to 1.5"
"nmdns_med.wt.cathigh",1.1,"5.84e-01","0.7 to 1.7"
"nmdns_mean.catmed",1.1,"7.51e-01","0.7 to 1.7"
"nmdns_mean.cathigh",1.2,"4.54e-01","0.8 to 1.8"
"nmdns_mean.wt.catmed",0.9,"7.83e-01","0.6 to 1.5"
"nmdns_mean.wt.cathigh",1.1,"6.93e-01","0.7 to 1.6"
