A	B	Neither	A Not B	B Not A	Both	Log Odds Ratio	p-Value	Adjusted p-Value	Tendency
SMG1	SMG6	10472	313	126	56	2.699	<0.001	<0.001	Co-occurrence
SMG6	UPF2	10649	141	136	41	>3	<0.001	<0.001	Co-occurrence
SMG1	UPF2	10470	320	128	49	2.528	<0.001	<0.001	Co-occurrence
SMG1	SMG5	10492	325	106	44	2.595	<0.001	<0.001	Co-occurrence
SMG1	UPF3B	10503	328	95	41	2.626	<0.001	<0.001	Co-occurrence
SMG7	UPF3B	10700	131	106	30	>3	<0.001	<0.001	Co-occurrence
SMG1	UPF1	10473	326	125	43	2.403	<0.001	<0.001	Co-occurrence
SMG7	UPF2	10661	129	145	32	2.904	<0.001	<0.001	Co-occurrence
UPF2	UPF3B	10684	147	106	30	>3	<0.001	<0.001	Co-occurrence
SMG1	SMG7	10478	328	120	41	2.390	<0.001	<0.001	Co-occurrence
SMG6	SMG7	10655	151	130	31	2.823	<0.001	<0.001	Co-occurrence
SMG5	SMG6	10664	121	153	29	2.816	<0.001	<0.001	Co-occurrence
UPF1	UPF2	10651	139	148	29	2.709	<0.001	<0.001	Co-occurrence
SMG6	UPF1	10646	153	139	29	2.675	<0.001	<0.001	Co-occurrence
SMG6	UPF3B	10675	156	110	26	2.783	<0.001	<0.001	Co-occurrence
SMG5	UPF2	10666	124	151	26	2.695	<0.001	<0.001	Co-occurrence
SMG5	SMG7	10681	125	136	25	2.754	<0.001	<0.001	Co-occurrence
UPF1	UPF3B	10686	145	113	23	2.708	<0.001	<0.001	Co-occurrence
SMG7	UPF1	10662	137	144	24	2.563	<0.001	<0.001	Co-occurrence
SMG5	UPF3B	10700	131	117	19	2.585	<0.001	<0.001	Co-occurrence
SMG5	UPF1	10669	130	148	20	2.406	<0.001	<0.001	Co-occurrence
